"","ID","danger"
"912","1930","NO"
"913","1932","NO"
"914","1933","NO"
"915","1934","NO"
"916","1935","NO"
"917","1936","NO"
"918","1937","NO"
"919","1941","NO"
"920","1942","NO"
"921","1943","NO"
"922","1944","NO"
"923","1945","NO"
"924","1946","NO"
"925","1947","NO"
"926","1948","NO"
"927","1949","YES"
"928","1950","NO"
"929","1951","NO"
"930","1952","NO"
"931","1957","YES"
"932","1958","YES"
"933","1964","NO"
"934","1965","NO"
"935","1966","NO"
"936","1968","NO"
"937","1974","NO"
"938","1975","NO"
"939","1976","NO"
"940","1977","NO"
"941","1978","NO"
"942","1979","NO"
"943","1980","NO"
"944","1981","NO"
"945","1982","NO"
"946","1983","NO"
"947","1984","NO"
"948","1985","YES"
"949","1986","NO"
"950","1987","NO"
"951","1988","NO"
"952","1989","NO"
"953","1990","NO"
"954","1991","NO"
"955","1993","NO"
"956","1994","NO"
"957","1997","NO"
"958","1999","NO"
"959","2001","YES"
"960","2002","YES"
"961","2010","NO"
"962","2013","YES"
"963","2015","NO"
"964","2019","YES"
"965","2020","NO"
"966","2021","NO"
"967","2024","NO"
"968","2031","YES"
"969","2032","NO"
"970","2033","NO"
"971","2035","NO"
"972","2037","NO"
"973","2038","NO"
"974","2039","NO"
"975","2040","NO"
"976","2041","NO"
"977","2042","NO"
"978","2046","YES"
"979","2050","NO"
"980","2052","YES"
"981","2053","YES"
"982","2059","NO"
"983","2060","NO"
"984","2061","NO"
"985","2062","NO"
"986","2063","NO"
"987","2066","NO"
"988","2068","YES"
"989","2070","NO"
"990","2072","NO"
"991","2073","YES"
"992","2074","NO"
"993","2076","NO"
"994","2080","NO"
"995","2085","NO"
"996","2086","NO"
"997","2087","YES"
"998","2088","YES"
"999","2091","NO"
"1000","2092","NO"
"1001","2093","NO"
"1002","2094","NO"
"1003","2095","NO"
"1004","2099","YES"
"1005","2104","NO"
"1006","2106","NO"
"1007","2107","NO"
"1008","2108","NO"
"1009","2110","NO"
"1010","2113","NO"
"1011","2115","NO"
"1012","2119","YES"
"1013","2120","YES"
"1014","2122","NO"
"1015","2123","NO"
"1016","2124","NO"
"1017","2126","NO"
"1018","2128","NO"
"1019","2129","NO"
"1020","2130","NO"
"1021","2133","YES"
"1022","2140","NO"
"1023","2141","NO"
"1024","2145","NO"
"1025","2146","NO"
"1026","2147","NO"
"1027","2148","NO"
"1028","2149","NO"
"1029","2150","NO"
"1030","2151","NO"
"1031","2158","NO"
"1032","2162","YES"
"1033","2165","YES"
"1034","2166","NO"
"1035","2170","YES"
"1036","2172","NO"
"1037","2175","NO"
"1038","2178","NO"
"1039","2179","NO"
"1040","2180","NO"
"1041","2183","NO"
"1042","2184","NO"
"1043","2185","NO"
"1044","2197","NO"
"1045","2211","NO"
"1046","2212","NO"
"1047","2213","NO"
"1048","2216","NO"
"1049","2217","NO"
"1050","2219","NO"
"1051","2220","NO"
"1052","2221","NO"
"1053","2222","NO"
"1054","2226","NO"
"1055","2229","NO"
"1056","2231","NO"
"1057","2232","NO"
"1058","2233","NO"
"1059","2234","NO"
"1060","2235","NO"
"1061","2236","NO"
"1062","2237","NO"
"1063","2238","NO"
"1064","2239","YES"
"1065","2241","YES"
"1066","2247","NO"
"1067","2248","NO"
